QT_content,QT_objects
z height changing during print.,print
side fans stopped working,working
my taz 6 started chewing up the filament,filament
"luzbot 5 single, printing in squiggles",squiggles
solved: taz 6 auto leveling is >0.5mm off (now perfect to 0.01mm!),> 0.5 mm
taz 6 bed leveling problems,problems
problems with the taz6,taz6
additional heating resistors in taz4 and taz5,taz4
taz 6 z probe: i need some bed leveling help,bed leveling help
taz 6 probing problem,problem
"posts responded with ""reach out to the support team"" question",support team
nozzle is missing wiper pad and hitting mount,mount
nozzle is missing wiper pad and hitting mount,wiper pad
taz 6 + brand new moarstruder makes loud popping sound,loud
hs tool head 0.8 made a expensive mistake,expensive mistake
any interested in manufacturing parts?,manufacturing parts
taz 5 with sl 0.25mm tool head,sl 0.25 mm tool head
vibration in y axis even after bed swap,y axis
lulzbot support is horrible,horrible
taz 6 with duet wifi board and bl-touch,duet wifi board
did i just kill my taz 6?,my taz
clogged bore on taz6,taz6
taz6 bed vibration,vibration
pei lifting off from bed,bed
taz 3 with taz 5 extruder,taz 5 extruder
taz6 misses leveling washer when traveling to it.,washer
prints shifting on taz 6,taz 6
new taz 5 owner needs help,help
have issues and been fiddling with it for 3 weeks,3 weeks
taz 6 x belt rubs carriage,carriage
well it's my turn chasing the dog 'z' bed level,dog
taz 5 with unusual problem.  need help,unusual problem
problem with replacement single extruder toolhead,replacement single extruder toolhead
homing g28 z0 not working: why are all axes are homing???,why are homing
improved auto bed leveling taz 6 - part 1,taz 6
dual extruder v3 used as single extruder,single extruder
"help !bed leveling problem, unbalance nozzle of v3",v3
archim board - looks like an upgraded rambo,upgraded rambo
taz 6 with aerostruder problems.,aerostruder problems
rambo patch adding capacitor to z-min & zero sense,z-min
rambo patch adding capacitor to z-min & zero sense,capacitor
lutzbot taz 6 printer nozzle drags back through print,print
taz 6 probing failed after arduino board change.,arduino board change
taz 6 pauses while printing from sd card,printing
taz 6 pauses while printing from sd card,sd card
taz 5 print jams,jams
flexystuder made from flexydually help,flexydually help
"lulzbot taz 6, 3d iphone case with face",face
extruder head encased itself in abs overnight!,itself
2 different filaments in 1 print?,1 print
can you adjust the bed on taz 6?,taz 6
can you adjust the bed on taz 6?,bed
aerostruder connector with v2c tool harness,v2c tool harness
"lulzbot taz 5 motherboard swapped for rambo 1.3, printing only limited to a few inches on x/y axis",rambo 1.3
"lulzbot taz 5 motherboard swapped for rambo 1.3, printing only limited to a few inches on x/y axis",only limited to few inches on x/y axis
dual extruder v3 prints with wrong head midprint and other malfunctions,wrong head midprint
"prints end up ""printing in air""",printing in air
capacitive auto bed leveling,leveling
taz 3 with new taz 5 compatible extruder,new taz 5 compatible extruder
bubbles under brand new heated beds (yes plural),yes plural
filament channel is clogged?,clogged
taz 6 heated bed not heating - perplexing puzzle - [edit - solved!! heater pin melted on rambo!],rambo
taz shutting down when wiping nozzle,nozzle
proposed dual head with the best of the single head,best of single head
taz 6 dualextv2 - filament jammed in extruder,extruder
"filament stuck in printer, wont budge, wont remove",printer
taz 5 flexydually skipping/slipping with ninjaflex,ninjaflex
modified wipe code for other toolheads to use dual v3 wipe pad,code
modified wipe code for other toolheads to use dual v3 wipe pad,v3
modified wipe code for other toolheads to use dual v3 wipe pad,pad
interlayer bonding issue with taz 6,taz 6
taz6 z axis steppers making a loud growling noise.,loud growling noise
four screws holding the control box to the frame,frame
four screws holding the control box to the frame,control box
shell is peeling off the model,model
total noob with soooo many questions...,soooo many questions
thermal error with blank heater_id,blank heater _ id
dual v3 with flexible filaments (ie. ninjaflex),flexible filaments
poor man's pause on filament run out,pause on filament run
"random temperature drop, firmware disconnection on taz 5 dual v2?",taz 5 dual v2
backlash in y axis - taz 5,y axis
why does filament extrude before printing.,printing
1.75 mm filament in 3.0 mm hot end,3.0 mm hot end
taz 5 heating bed - temperature error,temperature error
review of lulzbot modular print bed heater,bed heater
left z axis threaded rod binding,rod binding
taz5 z-axis skewed after each print,print
"new taz6, help with poor prints",poor prints
is the flexystruder v2 being discontinued?,is discontinued
dual extruder 3 with flexi?,flexi
taz 6 dually - second extruder making contact with print volume,print volume
how does the dualhead taz v2 compare to the v3?,v3
taz6 z homing issues with standard tool head,standard tool head
taz 5 user looking for test print on taz 6,test print taz 6
ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,my skirt for prusa i3 mk2 style
ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,taz
severe warping printing spare parts using chroma strand abs,chroma strand abs
jamming hexagon print head,head
abs sticks to plate like insanity! help.,plate
abs sticks to plate like insanity! help.,insanity
moarstruder external fill pattern,pattern
taz 6 just stopped working???,working
taz 4 left & right z motors get out of sync,sync
"printer stops extruding, chomps filament",extruding
z axis issue with new taz6,new taz6
problem with taz 6 print,taz 6
buying used taz 3/4/5 bed mount plates,used taz 3/4/5 bed
12v 40mm cooling fan replacing the original 24v,original 24v
diy taz-6 auto home was a problem,problem
"sd card plastic broke off inside card reader, taz6",card reader
"sd card plastic broke off inside card reader, taz6",taz6
"abs / hips melting on large print, suggested settings?",settings
taz5 stops printing after a few hours,printing
taz5 stops printing after a few hours,few hours
"taz6 flezystruder problem with ""auto home""",auto home
bridge nylon lifting pei sheet,pei sheet
"flexydually v2, help printing with flexy only",flexy
taz 5 heated build plate connector very hot and smells like magic smoke,magic smoke
tips for resolving y-axis being off about 0.10mm,off about 0.10 mm
titan aero? anyone consider installing one?,one
tensioner boby keeps breaking,breaking
nozzle pressing into washers when doing bed level,washers
nozzle pressing into washers when doing bed level,bed level
retraction issue when setting extruder temp and wait command,command
modified heatsink fan duct for taz-6 with leds,leds
printer stops midprint,midprint
filament bending at top of exstruder,top exstruder
line voids in prints,prints
bed centered cam mount for taz 6 ???,taz 6
trouble with z axis homing,axis homing
taz 3 showing error mintemp,error mintemp
bearing play - is this normal?,normal
taz 6 left side not lifting,side
need help inserting new igus bushings,new igus bushings
anyone tried a removable pei bed?,removable pei bed
removable taz 6 print surface,surface
dual extruder blobs with 1.75mm filament,1.75 mm filament
generic question - do you lube rails?,rails
taz 6 messing up layers,layers
help trouble print head & fans after disassembly,head
help trouble print head & fans after disassembly,fans
anyone have an extruder stepper motor pin-out,extruder stepper motor pin-out
bubbles in pei sheet,pei sheet
problem with first layer,first layer
how do i print from t1 with t0 support structures,t1 with t0 support structures
how many taz can i run on a 15 amp breaker?,how many taz
how many taz can i run on a 15 amp breaker?,15 amp breaker
enclosure question - attach to taz?,taz
*warning* anyone with a thermal runaway issue,thermal runaway issue
problem with y-axis belt mount,y-axis belt mount
does anyone tried buildtak flexplate system ?,buildtak flexplate system
can the taz6 auto leveling be added to the taz5,can leveling added to taz5
tax 6 poor print quality,quality
taz 6 extruder harness snagging prints leading to failue,failue
anyone put a thermocouple on a taz 5?,thermocouple
anyone put a thermocouple on a taz 5?,taz 5
taz 5 stops mid-print,mid-print
should i add raspberry pi........?,raspberry pi
hips support material melts on long print,long
pla is too stiff to extrude at the end of finishing a role,too stiff
weird print problem,problem
flexy dually v1 installation instructions on a taz 5?,installation instructions
flexy dually v1 installation instructions on a taz 5?,taz 5
"i'll admit it, i like em small.",em small
taz 4/5 has issues with z home,issues with z home
dual extruder with water-soluble filament,water-soluble filament
"taz 6, extruder v2.1, clogging after 2-3 layers",2-3 layers
taz 6 print shifting,shifting
extruder running into edge of print bed,edge of print bed
swap one (flexy) extruder out of the flexydually with stock v2.1 possible?,stock v2 .1 possible
taz 6 reboots manually loading filament,filament
my printer just caught on fire.,fire
bulging when the nozzle makes a sharp turn,sharp turn
did anyone ever get their machine to work?,their machine
adventures with petg,petg
taz 6 stopped print when i booted into windows,windows
taz 6 stopped print when i booted into windows,print
taz 6 extruded harness pinout?,harness pinout
taz 6 bed leveling chaotic,leveling
taz 6 bed leveling chaotic,chaotic
how much offset is normal for auto alignment?,normal
how much offset is normal for auto alignment?,auto alignment
heater resistor stuck in heater block,heater block
stepper motor unresponsive in e01 port; unsure as to how to switch,e01 port
time lapse print recording,recording
taz 6 retracting too much before leveling?,too much
temperature controlled enclosure,enclosure
practical minimum layer height with taz-6 with ngen filament,taz-6
practical minimum layer height with taz-6 with ngen filament,ngen filament
filament material used for production printed parts?,parts
taz5 works wonders for your kid's costume!,costume
taz 6: large prints shifting while dual extrusion printing,dual extrusion printing
snapped nozzle - with solution,solution
taz 6...continued z issuea,issuea
issues printing small part,small part
idler arm finally cracked on taz5,taz5
taz 6 nozzle touches print when printing solid layers,solid layers
solved: taz 5 shifting first couple of layers,layers
