QT_content,QT_subjects
z height changing during print.,z height
side fans stopped working,side fans
my taz 6 started chewing up the filament,my taz 6
"luzbot 5 single, printing in squiggles",printing
solved: taz 6 auto leveling is >0.5mm off (now perfect to 0.01mm!),taz 6 auto leveling
taz 6 bed leveling problems,taz 6
problems with the taz6,problems
additional heating resistors in taz4 and taz5,additional heating resistors
taz 6 z probe: i need some bed leveling help,user46
taz 6 probing problem,taz 6
"posts responded with ""reach out to the support team"" question",posts
nozzle is missing wiper pad and hitting mount,nozzle
nozzle is missing wiper pad and hitting mount,nozzle
taz 6 + brand new moarstruder makes loud popping sound,brand new moarstruder
hs tool head 0.8 made a expensive mistake,hs tool head 0.8
any interested in manufacturing parts?,any
taz 5 with sl 0.25mm tool head,taz 5
vibration in y axis even after bed swap,vibration
lulzbot support is horrible,lulzbot support
taz 6 with duet wifi board and bl-touch,taz 6
did i just kill my taz 6?,user100
clogged bore on taz6,clogged
taz6 bed vibration,taz6
pei lifting off from bed,pei
taz 3 with taz 5 extruder,taz 3
taz6 misses leveling washer when traveling to it.,taz6
prints shifting on taz 6,prints
new taz 5 owner needs help,new taz 5 owner
have issues and been fiddling with it for 3 weeks,issues
taz 6 x belt rubs carriage,taz 6 x belt
well it's my turn chasing the dog 'z' bed level,my turn
taz 5 with unusual problem.  need help,taz 5
problem with replacement single extruder toolhead,problem
homing g28 z0 not working: why are all axes are homing???,axes
improved auto bed leveling taz 6 - part 1,improved auto bed
dual extruder v3 used as single extruder,dual extruder v3
"help !bed leveling problem, unbalance nozzle of v3",bed leveling problem
archim board - looks like an upgraded rambo,archim board
taz 6 with aerostruder problems.,taz 6
rambo patch adding capacitor to z-min & zero sense,rambo patch
rambo patch adding capacitor to z-min & zero sense,rambo patch
lutzbot taz 6 printer nozzle drags back through print,6 printer nozzle
taz 6 probing failed after arduino board change.,probing
taz 6 pauses while printing from sd card,taz 6
taz 6 pauses while printing from sd card,taz 6
taz 5 print jams,taz 5
flexystuder made from flexydually help,flexystuder
"lulzbot taz 6, 3d iphone case with face",3d iphone case
extruder head encased itself in abs overnight!,extruder head
2 different filaments in 1 print?,2 different filaments
can you adjust the bed on taz 6?,answer256
can you adjust the bed on taz 6?,answer256
aerostruder connector with v2c tool harness,aerostruder connector
"lulzbot taz 5 motherboard swapped for rambo 1.3, printing only limited to a few inches on x/y axis",lulzbot taz 5 motherboard
"lulzbot taz 5 motherboard swapped for rambo 1.3, printing only limited to a few inches on x/y axis",lulzbot taz 5 motherboard
dual extruder v3 prints with wrong head midprint and other malfunctions,dual extruder v3 prints
"prints end up ""printing in air""",prints
capacitive auto bed leveling,capacitive auto
taz 3 with new taz 5 compatible extruder,taz 3
bubbles under brand new heated beds (yes plural),brand new heated beds
filament channel is clogged?,filament channel
taz 6 heated bed not heating - perplexing puzzle - [edit - solved!! heater pin melted on rambo!],heater pin
taz shutting down when wiping nozzle,taz
proposed dual head with the best of the single head,proposed dual head
taz 6 dualextv2 - filament jammed in extruder,filament
"filament stuck in printer, wont budge, wont remove",filament
taz 5 flexydually skipping/slipping with ninjaflex,taz 5 flexydually
modified wipe code for other toolheads to use dual v3 wipe pad,modified
modified wipe code for other toolheads to use dual v3 wipe pad,other toolheads
modified wipe code for other toolheads to use dual v3 wipe pad,modified
interlayer bonding issue with taz 6,interlayer bonding issue
taz6 z axis steppers making a loud growling noise.,taz6 z axis steppers
four screws holding the control box to the frame,four screws
four screws holding the control box to the frame,four screws
shell is peeling off the model,shell
total noob with soooo many questions...,total noob
thermal error with blank heater_id,thermal error
dual v3 with flexible filaments (ie. ninjaflex),dual v3
poor man's pause on filament run out,poor man
"random temperature drop, firmware disconnection on taz 5 dual v2?",random temperature drop
backlash in y axis - taz 5,backlash
why does filament extrude before printing.,filament
1.75 mm filament in 3.0 mm hot end,1.75 mm filament
taz 5 heating bed - temperature error,taz 5 heating
review of lulzbot modular print bed heater,review
left z axis threaded rod binding,left z axis
taz5 z-axis skewed after each print,taz5 z-axis
"new taz6, help with poor prints",new taz6
is the flexystruder v2 being discontinued?,flexystruder v2
dual extruder 3 with flexi?,dual extruder 3
taz 6 dually - second extruder making contact with print volume,contact
how does the dualhead taz v2 compare to the v3?,dualhead taz v2
taz6 z homing issues with standard tool head,taz6 z homing issues
taz 5 user looking for test print on taz 6,taz 5 user
ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,feature
ditched my skirt for this prusa i3 mk2 style wipe feature i made for the taz 6,user437
severe warping printing spare parts using chroma strand abs,severe warping printing spare parts
jamming hexagon print head,hexagon
abs sticks to plate like insanity! help.,abs
abs sticks to plate like insanity! help.,abs
moarstruder external fill pattern,moarstruder external
taz 6 just stopped working???,taz 6
taz 4 left & right z motors get out of sync,z motors
"printer stops extruding, chomps filament",printer
z axis issue with new taz6,z axis issue
problem with taz 6 print,problem
buying used taz 3/4/5 bed mount plates,plates
12v 40mm cooling fan replacing the original 24v,40 mm cooling fan
diy taz-6 auto home was a problem,diy taz-6 auto home
"sd card plastic broke off inside card reader, taz6",sd card plastic
"sd card plastic broke off inside card reader, taz6",sd card plastic
"abs / hips melting on large print, suggested settings?",abs hips
taz5 stops printing after a few hours,taz5
taz5 stops printing after a few hours,taz5
"taz6 flezystruder problem with ""auto home""",taz6 flezystruder problem
bridge nylon lifting pei sheet,bridge nylon
"flexydually v2, help printing with flexy only",printing
taz 5 heated build plate connector very hot and smells like magic smoke,taz 5 heated build plate connector
tips for resolving y-axis being off about 0.10mm,y-axis
titan aero? anyone consider installing one?,anyone
tensioner boby keeps breaking,tensioner boby
nozzle pressing into washers when doing bed level,nozzle
nozzle pressing into washers when doing bed level,nozzle
retraction issue when setting extruder temp and wait command,extruder temp
modified heatsink fan duct for taz-6 with leds,modified heatsink fan duct
printer stops midprint,printer
filament bending at top of exstruder,filament
line voids in prints,line voids
bed centered cam mount for taz 6 ???,bed centered cam
trouble with z axis homing,trouble
taz 3 showing error mintemp,taz 3
bearing play - is this normal?,bearing play
taz 6 left side not lifting,taz 6
need help inserting new igus bushings,need help
anyone tried a removable pei bed?,anyone
removable taz 6 print surface,removable taz 6
dual extruder blobs with 1.75mm filament,dual extruder blobs
generic question - do you lube rails?,answer561
taz 6 messing up layers,taz 6
help trouble print head & fans after disassembly,trouble
help trouble print head & fans after disassembly,trouble
anyone have an extruder stepper motor pin-out,anyone
bubbles in pei sheet,bubbles
problem with first layer,problem
how do i print from t1 with t0 support structures,user585
how many taz can i run on a 15 amp breaker?,user590
how many taz can i run on a 15 amp breaker?,user590
enclosure question - attach to taz?,enclosure question
*warning* anyone with a thermal runaway issue,anyone
problem with y-axis belt mount,problem
does anyone tried buildtak flexplate system ?,does anyone
can the taz6 auto leveling be added to the taz5,taz6 auto
tax 6 poor print quality,tax 6 poor
taz 6 extruder harness snagging prints leading to failue,taz 6 extruder harness snagging prints
anyone put a thermocouple on a taz 5?,anyone
anyone put a thermocouple on a taz 5?,anyone
taz 5 stops mid-print,taz 5
should i add raspberry pi........?,user661
hips support material melts on long print,hips support material
pla is too stiff to extrude at the end of finishing a role,pla
weird print problem,weird
flexy dually v1 installation instructions on a taz 5?,flexy
flexy dually v1 installation instructions on a taz 5?,flexy
"i'll admit it, i like em small.",user700
taz 4/5 has issues with z home,taz 4/5
dual extruder with water-soluble filament,dual extruder
"taz 6, extruder v2.1, clogging after 2-3 layers",taz 6
taz 6 print shifting,taz 6
extruder running into edge of print bed,extruder
swap one (flexy) extruder out of the flexydually with stock v2.1 possible?,flexydually
taz 6 reboots manually loading filament,taz 6
my printer just caught on fire.,my printer
bulging when the nozzle makes a sharp turn,nozzle
did anyone ever get their machine to work?,anyone
adventures with petg,adventures
taz 6 stopped print when i booted into windows,user728
taz 6 stopped print when i booted into windows,taz 6
