Replies_subject,relation,Replies_object
user0,use,funnel like fan
open frame construction,allows,100 % air flow
user0,made for,example
fan,has,airflow zero guidance where needed
your exit,going in,other direction
user0,'re experiencing,lack cooling
user0,lack,cooling from type
tonyboutwell,wrote as,soon user
taz 6,also has,dual 24v extruder fans
user0,using settings in,cura
user0,using,right settings
answer1,assume,that with material
nozzle,is,big
1.2 mm nozzle,is,very big nozzle
user1,will have,print
user1,print,slow anyway
answer1,could,could wrong
z steppers,be,always enabled
z motors,are compensating for,bed leveling
user2,disable,abl
select allm18 z e,will disable immediately,z motors
user3,should get,error
error,related to,extruder number
user3,have,firmware for dual extruder
firmware,is,single
it extruder,mount on,x axis
belt tension,use,your third hand
belt tension,holding,table
rsync service,is,provided
rsync service,is,suited
rsync service,is provided by,ao
command,will download,taz 6.03 directory
user5,may want to,archive
sun oct 27 2019 9:03,am,my option
answer6,help,you
answer6,might,might able
user6,are serious,donating
user6,are,serious
answer6,teach,3d printing class
answer6,manage,several undergrad projects
user6,can pm,me
user7,flashing,anything
user7,are only flashing,files
user7,are only flashing files from,download site
user7,flashing anything from,newest version of lb cura
user7,select,aerostruder print head
user7,can check,firmware loaded shows aerostruder
user7,see,video
user8,write,your
laptop 's sd card reader/writers,seem,reliable then
sd card reader/writer,is in,my pc
answer8,buying,external usb interface sd card reader/writer
answer9,unfortunately purchased,one
answer9,had,non-stop issues
filament,run out,sensors
answer9,'ll update,post once/if
taz 6,is with,aerostruder
answer9,been,shocked
answer9,just got,dud
answer9,will get,pro
dud aerostruder,is with,faulty thermistor originally
it could work,would,would great
given,is,second time
answer10,checked ago,forum
bio printer,getting,some
screws,is in,guides
screws,were,loose
bed moves,is,tight
bed,moves smoothly by,hand
im,basically lost at,point
answer12,would check,assembly instructions on e3d 's website
user12,can start here,your search
straight edge,crank up,heat 100c
answer13,have,hump in y direction on right hand side of bed
corners,being,held
corners,supported by,aluminum plate
corners,supported from,underneath
glass,removing,clips
glass,expand,lay flat
user14,can open,console m115
your usb connection,change out,your usb cable
your slot,is,loose
your connection,check,see
lulzbot print head parts,is in,uk
user15,heat up,block for thermal expansion
user15,do,full disassembly do
user16,can upload,detailed pictures of printer setup
firmware,loaded,bed
firmware,assumes,printer geometry
thumb,screw,that
bed,is,located properly
them,get out of,sync
motor,side of,x carriage
z carriage,is,when moved
motors,slide,head
motors,slide head over,over front right bed washer
head,has,space
coupler,is with,your hand
head,is,lower
user17,want,https://www.lulzbot.com/store/parts/100 stor-235mm
best solution,purchase,one here
https://e3d-online.com/lulzbot-spares,buy,several
https://e3d-online.com/lulzbot-spares,supply,community
https://e3d-online.com/lulzbot-spares,supply community,their problems arise
answer18,enter in,settings
user18,have,worry about
only thing,is,your z-offset
user18,turn on,machine
user18,have,latest version of cura
user18,uninstalled,earlier versions
user18,make,sure
different firmwares,enable,different pins
user19,should follow,taz 5 instructions
measurement,should,should identical on sides
2019 7:15,am reach out to,support team
2019 7:15,am reach out for,help
2019 7:15,doing,anything else
support line lady,was,very thorough
answer21,removed,3 screws
told,was,tight
3 screws,holding,lulzbot logo cover
user22,have,usb cable connected to printer
start cura,click on,console button
start cura,click on,monitor tab
m851,send,your axis
user22,pass,index value of fan
answer22,go,> fan speed 1
fan,turn,knob
answer22,go to,temperature
fan,turn knob to,fan speed
yours,be,should somewhat similar to that
ok,was,so there debris
ok,so there was debris in,hobbed bolts teeth
answer23,made,sure
answer23,tightened up,them
two rods,name of,parts
answer23,did get,layer height
rambo v1 difference,is,integrated lcd connector for smart lcd controllers
user24,can read up on,full stats of board here
ext2 headers,were,re-arranged
ext2 headers,remove,need
change,is,compatible
change,is compatible with,firmware for previous versions of rambo
ultimaker,reved rambo board during,our production run
answer25,'ve tried,other solutions
answer25,was,able
answer25,was able with,setup
first print,were,successful
answer25,was guaranteed,print failure
my dual v3,is,reliable again
solution,uploading,link
solution,uploading,80 mm duct.stl file
last material,was,taulman 910
answer26,wanted,print today
answer26,could get,past probing
project,having,heck
answer26,wiping aggressively with,paper towel
answer26,use anything metal on,nozzle
answer26,could see brass at_time,way around
answer26,grabbed,some 320 grit
answer26,gave,bit
answer26,cranked,temp
next probe sequence,executed,perfectly zero deflection
user26,trying,get
user26,'re at,your wits
answer26,using,aerostruder head
user27,are using,latest firmware found in latest version of cura lulzbot edition
that,aside looks,magically delicious
answer27,really want now,unicorn ramen
answer28,was,able
answer28,take,more time looking at it
wiring,looks,perfect
answer28,pulled off,print head
thermistor,is measuring,120k ohms
everything,is,now cold
answer28,set end to,only 100 degrees c
e1 heating,failed,printer halted message
fan shroud,collide with,bed leveling washers
answer29,have,few aerostruders
user29,need,do
user29,have,careful
1.75 mm heat break,shoulder of be,level with bottom surface of titan
answer29,get,time
answer29,'ll make,thread
answer29,get,quality prints
answer29,get quality prints with,1.75 mm filament on aerostuder
user29,drill out,hole
answer29,post,my pics
it works,has,selection of quality toolheads for taz
answer30,am,huge
could couple things,going on,here
partial obstruction,is in,nozzle
small fan,pointed towards,hot end
user31,can also make,sure
your filament,should extrude in,solid consistent line
user31,troubleshoot with,lulzbot tech support team
user31,can also send,them
b-hep-spring,wrote,? mon sep 23
b-hep-spring,wrote,2019 12:10 pm
user32,desired,setting
max,is in,case
user32,are using,printer combination
printer combination,get,accurate data
taz 5,is with,0.50 mm hot end nozzle
0 #define y _ max _ pos 275 #define y _ min _ pos,#define after,homing #define x _ max _ pos 298 #define x _ min _ pos
user34,are,good
user34,are good at,soldering
answer35,have modified,my modular bed
aluminum plate,is,thicker
aluminum plate,is thicker,several times
plate,supported on,corners
answer35,fixed,mine
ss/1081135 faucet,rebuild,kit
user35,could use as,thermal/electrical insulators
ti,comes with,two rubber seals
should several material profiles,is with,preset spiralize profiles
user36,'d,ideally 'd able
https://lulzbot.com/support,is in,cura le
user36,clear,your cura cache
answer37,have solved,problem
bed,be leveled,work
bed,has,leveled
my bed,was,out-of-level enough
answer37,come up with,trick
answer37,had,fix
answer37,fix on,taz 6
bed,leveling,g28
level bed,is with,full diagnostics
answer37,used,determine
highest corner,is in,my case
answer37,raise,other corners
answer37,would run g-code sequence after,attempt
answer37,again looking at,z numbers
answer37,took,flat blade
answer37,got,corners physically within 0.07 mm
his,running,test show
his,pointing out,usage of m119
answer37,found,you post
answer37,tried everything up,i found
answer37,tried up,everything
my,build plate up,up .08 mm deviation between washers
answer37,was,able
my,build,plate
answer37,do have,one question
user37,did using,m119 command
user37,could please,elaborate on this
my pla prints,would fail on,dual extruder v3
real difference,turning up,your speed
answer38,use,default profile 's speed setting
extruder,has,share
cooling,is,when problem
see,is,at
profile,is with,0 degrees
value,change on,one side
build plate temperature,is,for example value shared between extruders
layer height,is,also good example
quick summary,is in,dummy profile
answer38,would set,printing temperatures
answer38,would set printing temperatures to,about 30c including standby temperature
answer38,get,successful pla prints
nothing,can make,work
nothing,can make work on,v3 extruder
answer38,'ve tried,many things
answer40,use,s3d
involved,creating,profile including
curale,generates,g-code
answer40,print,parts sliced in order
answer40,put,m218 t1 x13 y0 command
answer40,put m218 t1 x13 y0 command into,my s3d start code
firmware,is in,on other hand charge
version,is in,taz pro
user41,have switched,slicers
user41,print,gcode file
printer,is on,level
answer41,is,check
answer41,can think,is
min,is above,0.5
print,switch to,custom
change,affects,target
your lab,is,particularly warm
filament,lead to,extrusion issues
filament,becomes,malleable
answer43,would try,190c-200c
printing temperature,using,desk fan
answer43,would try 190c-200c for,pla
user43,are using,enclosure
answer44,just have,few questions
user44,are trying,print
user44,are sending,gcode
user44,are sending gcode to,printer
heating elements,can,can probably solved
autolevelling,is done with,voltage
autolevelling,is,done
user45,'ll strip,aluminum threads
user45,turn,them
user45,'ve,wiring problem
wire failure,constant motion of,bed
your x axis,might out of,might level
printer,slowly move toolhead over,over front lh washer
printer,slowly move,toolhead
nozzle,is,same distance above washer as rh side
answer48,have,ticket open with lulzbot about issue
answer48,expect,kind fiddling
prints,look,great
experts,is in,technical support department
our users,share here,knowledge
our users,knowledge share here in,forum
user49,are,fast ninjas
wiper pad,has,on subject of wiper pads has changed
answer51,printing with,octoprint 1.3.11 hmm
answer51,printing over,air
answer51,would first recommend,updating to cura 3.6.18
3.2.32 version,is,outdated
user51,will also notice on,our next release notes
user51,get here,latest
firmware,re-slice,model
user51,can print from,sd card
answer51,did,upgrade per instructions
answer51,will try,your suggestions
