subject,,object
z height,,z height
my taz 6,,my taz 6
printing,,printing
taz 6,,taz 6
problems,,problems
posts,,posts
nozzle,,nozzle
brand new moarstruder,,brand new moarstruder
any,,any
taz 5,,taz 5
vibration,,vibration
lulzbot support,,lulzbot support
clogged,,clogged
taz6,,taz6
pei,,pei
taz 3,,taz 3
prints,,prints
new taz 5 owner,,new taz 5 owner
issues,,issues
problem,,problem
dual extruder v3,,dual extruder v3
bed leveling problem,,bed leveling problem
probing,,probing
extruder head,,extruder head
taz,,taz
filament,,filament
modified,,modified
total noob,,total noob
dual v3,,dual v3
backlash,,backlash
1.75 mm filament,,1.75 mm filament
new taz6,,new taz6
flexystruder v2,,flexystruder v2
contact,,contact
feature,,feature
hexagon,,hexagon
abs,,abs
z motors,,z motors
printer,,printer
plates,,plates
taz5,,taz5
bridge nylon,,bridge nylon
y-axis,,y-axis
anyone,,anyone
extruder temp,,extruder temp
line voids,,line voids
trouble,,trouble
bubbles,,bubbles
pla,,pla
weird,,weird
flexy,,flexy
dual extruder,,dual extruder
extruder,,extruder
flexydually,,flexydually
my printer,,my printer
temperature,,temperature
taz-6,,taz-6
large prints,,large prints
idler arm,,idler arm
shifting,,shifting
taz 4,,taz 4
debris,,debris
new taz 6,,new taz 6
lines,,lines
y,,y
change,,change
heat,,heat
taz 5 printer,,taz 5 printer
fan,,fan
someone,,someone
help,,help
flexystruder,,flexystruder
dual extruder v2,,dual extruder v2
melted filament,,melted filament
dial gauge,,dial gauge
issue,,issue
my taz 5,,my taz 5
enclosure,,enclosure
first print,,first print
long,,long
sale,,sale
hobbed bolt,,hobbed bolt
x-axis,,x-axis
auto,,auto
stepper motors,,stepper motors
wire,,wire
z-axis,,z-axis
holes,,holes
hexagon hot end,,hexagon hot end
taz clone,,taz clone
hexagon hotend,,hexagon hotend
hot end,,hot end
new hotend,,new hotend
marlin,,marlin
odd pattern,,odd pattern
hot end temp,,hot end temp
heated bed,,heated bed
hard time,,hard time
y axis,,y axis
general,,general
x axis,,x axis
hand,,hand
taz lcd,,taz lcd
taz 2,,taz 2
lcd,,lcd
bent,,bent
bed,,bed
wires,,wires
plugs,,plugs
everything,,everything
duct,,duct
much,,much
result,,result
results,,results
search,,search
post,,post
taz pro,,taz pro
thanks,,thanks
them,,them
software developer,,software developer
warranty,,warranty
best,,best
heat block,,heat block
loctite,,loctite
error,,error
part,,part
squish,,squish
pics,,pics
cleaned,,cleaned
lulzbot,,lulzbot
something wrong,,something wrong
belt,,belt
teeth,,teeth
print,,print
something,,something
piece,,piece
modification,,modification
one,,one
print quality,,print quality
slicer,,slicer
those,,those
attached,,attached
your bed,,your bed
sides,,sides
z,,z
z position,,z position
leveling,,leveling
first layer,,first layer
pattern,,pattern
your help,,your help
luck,,luck
head,,head
pads,,pads
behavior,,behavior
answer,,answer
hot-end,,hot-end
my filament,,my filament
space,,space
machine,,machine
block,,block
carbon fiber,,carbon fiber
esteps,,esteps
extruder 1,,extruder 1
all,,all
online,,online
instructions,,instructions
symptom,,symptom
firmware,,firmware
version,,version
other one,,other one
people,,people
my friend,,my friend
power,,power
my taz,,my taz
bed connector,,bed connector
display,,display
none,,none
he,,he
troubleshooting,,troubleshooting
half,,half
picture,,picture
stop time,,stop time
show,,show
other,,other
my,,my
layers,,layers
chart,,chart
itworks3d,,itworks3d
fuse,,fuse
3d printing,,3d printing
tool head,,tool head
hole,,hole
setup,,setup
ticking sound,,ticking sound
hours,,hours
feeder wheel,,feeder wheel
150 mm,,150 mm
difficulty,,difficulty
pva,,pva
e1,,e1
cold pulls,,cold pulls
cura,,cura
etc,,etc
card,,card
here,,here
cooling fans,,cooling fans
pei sheet,,pei sheet
different materials,,different materials
repetier-host,,repetier-host
nothing,,nothing
benchy,,benchy
air,,air
you guys,,you guys
motor,,motor
bands,,bands
rods,,rods
bolts,,bolts
carriage,,carriage
thermister,,thermister
kind,,kind
distance,,distance
things,,things
turn,,turn
im,,im
heater plate,,heater plate
table,,table
glass,,glass
harness,,harness
scale,,scale
hardware,,hardware
trying,,trying
extruder motor,,extruder motor
user error,,user error
dimension,,dimension
materials,,materials
ngen,,ngen
my z,,my z
blocks,,blocks
group,,group
my lulzbot taz 5,,my lulzbot taz 5
command,,command
setting,,setting
new corners,,new corners
that,,that
t0,,t0
thermistor,,thermistor
fish fossil template,,fish fossil template
test,,test
screen,,screen
end,,end
units,,units
mine,,mine
device,,device
error code,,error code
others,,others
corners,,corners
build plate,,build plate
y-axis belt,,y-axis belt
dice,,dice
changes corrections,,changes corrections
feel,,feel
stepper,,stepper
screws,,screws
x carriage,,x carriage
z axis,,z axis
new,,new
value,,value
z lead screws,,z lead screws
frame,,frame
upgrades,,upgrades
raspberry pi 3,,raspberry pi 3
anything,,anything
plastic,,plastic
my prints,,my prints
having,,having
power supply,,power supply
z-offset,,z-offset
photos,,photos
your,,your
z rods,,z rods
some,,some
last time,,last time
settings,,settings
old one,,old one
0.75 mm,,0.75 mm
original box,,original box
heating,,heating
both,,both
40mm/s,,40mm/s
light,,light
axis,,axis
most,,most
connection,,connection
my taz6,,my taz6
layer,,layer
fans,,fans
website,,website
ones,,ones
my bed,,my bed
thing,,thing
lulzbot taz,,lulzbot taz
model,,model
software,,software
one part,,one part
other printers,,other printers
left side,,left side
pin,,pin
sd card slot,,sd card slot
their taz 6,,their taz 6
shop,,shop
new board,,new board
bom,,bom
material,,material
gap,,gap
bottom part,,bottom part
my model,,my model
hotend,,hotend
my pei sheet,,my pei sheet
corner,,corner
bearings,,bearings
switch,,switch
advice,,advice
i need,,i need
dual firmware,,dual firmware
experience,,experience
suggestions,,suggestions
one idea,,one idea
my expectations,,my expectations
printers,,printers
voltage,,voltage
pins,,pins
feeding,,feeding
cold,,cold
build surface,,build surface
supports,,supports
prusa printer,,prusa printer
atm,,atm
pei surface,,pei surface
ridges,,ridges
taper,,taper
simplify3d,,simplify3d
my first 3d printer,,my first 3d printer
print head,,print head
cable,,cable
stepper motor,,stepper motor
small gear,,small gear
extruder v3,,extruder v3
brim,,brim
top layer,,top layer
two fans,,two fans
new fan,,new fan
two nozzles,,two nozzles
mirror images,,mirror images
rest,,rest
viewtopic.php?f,,viewtopic.php?f
t,,t
pad,,pad
temperatures,,temperatures
10 mm,,10 mm
head temp,,head temp
layer height,,layer height
fan ducts,,fan ducts
upgrade,,upgrade
parts,,parts
clip,,clip
nozzles,,nozzles
mm,,mm
control box,,control box
slop,,slop
my issue,,my issue
s3d,,s3d
frustration,,frustration
better results,,better results
temp,,temp
right,,right
default settings,,default settings
unit,,unit
connections,,connections
following,,following
filament diameter,,filament diameter
bunch,,bunch
success,,success
everyone,,everyone
please,,please
comments,,comments
design,,design
lot,,lot
plate,,plate
its,,its
height,,height
first time,,first time
input,,input
0.05,,0.05
motors,,motors
taz3,,taz3
lcd screen,,lcd screen
heater,,heater
large part,,large part
5,,5
gears,,gears
taz 6 printer,,taz 6 printer
rod,,rod
clog,,clog
question,,question
school,,school
right side,,right side
below,,below
pic,,pic
2 mm,,2 mm
fan speed,,fan speed
advantage,,advantage
printhead,,printhead
dual material,,dual material
extruder 2,,extruder 2
stringing,,stringing
preferred abs chroma strand,,preferred abs chroma strand
i think,,i think
see,,see
toolhead,,toolhead
belts,,belts
attached images,,attached images
sections,,sections
wood,,wood
moarstruder,,moarstruder
pc,,pc
serial number,,serial number
board,,board
black,,black
gcode file,,gcode file
sd card,,sd card
my hardware,,my hardware
clean nozzle,,clean nozzle
first level,,first level
least,,least
dimensions,,dimensions
several things,,several things
questions,,questions
lead screw,,lead screw
nut,,nut
rambo,,rambo
3d printer,,3d printer
use,,use
check,,check
thought,,thought
broken part,,broken part
clam knife,,clam knife
6,,6
my parts,,my parts
hips,,hips
x,,x
profile,,profile
connector,,connector
dust,,dust
situation,,situation
